wave,flux
1216.0,1.0
1216.066813186813,1.0
1216.1336263736264,1.0
1216.2004395604397,1.0
1216.2672527472528,1.0
1216.334065934066,1.0
1216.4008791208792,1.0
1216.4676923076925,1.0
1216.5345054945055,0.999999990459696
1216.6013186813188,0.9993346189290886
1216.668131868132,0.9999999999999984
1216.734945054945,0.999999991763814
1216.8017582417583,0.998515754473372
1216.8685714285714,0.9999999990691559
1216.9353846153847,0.9966845481782269
1217.002197802198,0.9999999975698507
1217.0690109890108,1.0
1217.1358241758244,1.0
1217.2026373626372,0.9999999949263667
1217.2694505494508,0.997217269898534
1217.3362637362638,0.9999999999956756
1217.403076923077,0.9999999999999781
1217.4698901098902,0.9990722557853973
1217.5367032967033,0.999996460507295
1217.6035164835166,0.999825208511216
1217.6703296703297,0.9997856652599181
1217.7371428571428,0.9999999999999998
1217.803956043956,1.0
1217.8707692307692,0.999999951448772
1217.9375824175827,0.9955703810494707
1218.0043956043955,0.999999997364963
1218.0712087912086,0.998849003642572
1218.138021978022,0.9575146653764163
1218.2048351648352,0.9827726747090915
1218.2716483516485,0.9998018615070475
1218.3384615384616,0.8873832308717675
1218.4052747252747,0.9719476510461931
1218.472087912088,0.9999962128185915
1218.538901098901,0.9999999999997089
1218.6057142857144,0.9995320318966133
1218.6725274725275,0.9999999967135996
1218.7393406593405,0.9999999999999999
1218.8061538461538,0.9994326819051047
1218.8729670329672,0.9999999999754575
1218.9397802197802,1.0
1219.0065934065935,0.9999831248138791
1219.0734065934066,0.9999954639772394
1219.14021978022,1.0
1219.207032967033,1.0
1219.2738461538463,1.0
1219.3406593406594,0.9999999995161111
1219.4074725274725,0.9952736501120641
1219.4742857142858,0.9922788414973892
1219.5410989010988,0.8834604437755594
1219.6079120879122,0.9666552085116428
1219.6747252747255,0.9807879801412704
1219.7415384615383,0.9999995394606968
1219.8083516483518,0.9999994937330292
1219.8751648351647,0.983005415755991
1219.9419780219782,0.9977804622971335
1220.0087912087913,0.9986401943078521
1220.0756043956044,0.7798445947809388
1220.1424175824177,0.9250207815471609
1220.2092307692308,0.9979660613338825
1220.276043956044,0.9993458881531706
1220.3428571428572,0.9987105722349301
1220.4096703296702,0.987560805567593
1220.4764835164835,0.9941744099909183
1220.5432967032966,0.9637279466265555
1220.6101098901102,0.983754609676398
1220.676923076923,0.8117550366185695
1220.743736263736,0.7818072726054316
1220.8105494505494,0.8086992724236678
1220.8773626373627,0.36189904890922436
1220.944175824176,0.10113115741135155
1221.010989010989,0.6419575659166579
1221.0778021978022,0.9617342341387585
1221.1446153846155,0.9743727107013435
1221.2114285714285,0.9915425202172111
1221.2782417582418,0.9891325334457532
1221.345054945055,0.9998789268297485
1221.411868131868,0.995949910624395
1221.4786813186813,0.9999943741480694
1221.5454945054946,0.9818042537501347
1221.6123076923077,0.9683444787572741
1221.679120879121,0.9999806337430386
1221.745934065934,0.9979747785716242
1221.8127472527474,0.9948029220154002
1221.8795604395605,0.9999999744088947
1221.9463736263738,0.9973446714544626
1222.0131868131868,0.9748918067466346
1222.08,0.9999943851707106
1222.1468131868132,0.9999999999999619
1222.2136263736263,0.9999999999999265
1222.2804395604396,0.9989657319796539
1222.347252747253,0.9999999943880064
